sender,recipient,message,timestamp
"Svyat","Georg","А я могу так :)","2024-12-04 40:56:11""Georg","Svyat","Я тоже хочу 40 плюс часов в сутки...","2024-12-04 22:58:35"
"Svyat","Georg","Ты тут?","2024-12-04 23:07:56"
"Svyat","Georg","Марина проснулась","2024-12-04 23:08:19"
"Svyat","Georg","Щас она тебе напишет","2024-12-04 23:08:24"
"Svyat","Georg","Ау","2024-12-04 23:09:19"
"Svyat","Georg","Аууууу","2024-12-04 23:10:00"
"Svyat","Georg","Понял, ответа не будет","2024-12-04 23:10:54"
"Mary","Svyat","Чем тебе тг не угодил","2024-12-04 23:15:42"
"Svyat","Mary","Ну тг сделал не я, а это сделал я. И могу улучшить как угодно и знаю как Всë работает. Ну и это интерестно.","2024-12-04 23:17:03"
"Svyat","Mary","Можешь Георгию написать, но он уже вроде спит Georg","2024-12-04 23:17:16"
"Svyat","Mary","Я пошëл, пока.","2024-12-04 23:17:27"
"Svyat","Georg","Mary к нам вступила","2024-12-04 23:17:38"
"Mary","Svyat","Добавь возможность отправлять фото","2024-12-04 23:17:48"
"Svyat","Mary","У меня километровый список","2024-12-04 23:18:04"
"Svyat","Mary","И фото в нëм есть","2024-12-04 23:18:09"
"Svyat","Mary","Пока","2024-12-04 23:18:31"
"Georg","Svyat","Я тут","2024-12-04 23:21:09"
"Georg","Svyat","Она мне ещё не писала","2024-12-04 23:21:24"
"Georg","Svyat","Я просто символы интересные искал","2024-12-04 23:21:53"
"Georg","Svyat","🂡🂢🂣🂤🂥🂦🂧🂨🂩🂪🂫🂬🂭🂮🂱🂲🂳🂴🂵🂶🂷🂸🂹🂺🂻🂼🂽🂾🃁🃂🃃🃄🃅🃆🃇🃈🃉🃊🃋🃌🃍🃎🃑🃒🃓🃔🃕🃖🃗🃘🃙🃚🃛🃜🃝🃞
🂠 - рубашкой вверх
🃟 - белый
🃏- черный
🂿 - красный","2024-12-04 23:22:13"
"Georg","Svyat","Как тебе?","2024-12-04 23:22:21"
"Georg","Svyat","Ⱟ - Заглавная буква глаголицы хвостатый червь","2024-12-04 23:23:57"
"Georg","Svyat","Как тебе название?","2024-12-04 23:24:10"
"Georg","Svyat","Разве черви могут быть не хвостатыми?","2024-12-04 23:24:26"
"Georg","Svyat","🅯 - мужик в кружочке","2024-12-04 23:25:46"
"Georg","Svyat","Не знаю зачем тебе это","2024-12-04 23:26:01"
"Georg","Svyat","Просто чтобы было","2024-12-04 23:26:07"
"Georg","Svyat","𝛂𝛃𝛄𝛅𝛆𝛇𝛈𝛉𝛊𝛋𝛌𝛍𝛎𝛏𝛐𝛑𝛒𝛓𝛔𝛕𝛖𝛗𝛘𝛙𝛚 - выучил?","2024-12-04 23:37:14"
"Svyat","Georg","Завтра буду ехать, учить","2024-12-04 23:41:06"
"Svyat","Mary",".","2024-12-04 23:42:05"
"Svyat","Sus","Готов к физ диктанту, выучил греческий? Алфавит из гречки.","2024-12-04 23:48:01"
"Georg","Mary","☏ проверка связи ☏","2024-12-04 23:52:11"
"Georg","Mary","Если увидела - напиши","2024-12-04 23:52:26"
"Svyat","Mary","Тебе Георгий писал?","2024-12-04 23:52:50"
"Svyat","Georg","Спишь? Я ложусь.","2024-12-05 00:24:16"
"Svyat","Dima","Спишь? Я ложусь.","2024-12-05 00:24:27"
"Svyat","Sus","Спишь? Я ложусь.","2024-12-05 00:24:40"
"Svyat","Georg","Ты встал?","2024-12-05 07:29:33"
"Svyat","Sus","Ты встал?","2024-12-05 07:30:41"
"Svyat","Georg","Алее","2024-12-05 08:16:46"
"Svyat","Mary","К физике готова?","2024-12-05 08:17:25"
"Svyat","Sus","Готов к физике?","2024-12-05 08:18:21"
"Svyat","Sus","Я нет","2024-12-05 08:18:28"
"Svyat","Орешник","Пора вставать","2024-12-05 08:19:02"
"Svyat","Georg","Я вероятно опоздаю на 10 мин","2024-12-05 08:33:31"
"Svyat","Dima","Я вероятно опоздаю на 10 мин","2024-12-05 08:33:46"
"Svyat","Орешник","Я вероятно опоздаю на 10 мин","2024-12-05 08:34:09"
"Svyat","Sus","Я вероятно опоздаю на 10 мин","2024-12-05 08:34:25"
"Georg","Svyat","Я передам учителю если что","2024-12-05 09:03:54"
"Georg","Svyat","А прикинь","2024-12-05 09:04:12"
"Georg","Svyat","Если какой-то рандом на сайт случайно на сайт попадет","2024-12-05 09:05:06"
"Georg","Svyat","Если какой-то рандом на сайт случайно на сайт попадет","2024-12-05 09:05:06"
"Georg","Svyat","Если какой-то рандом на сайт случайно на сайт попадет","2024-12-05 09:05:17"
"Georg","Svyat","Если какой-то рандом на сайт случайно на сайт попадет","2024-12-05 09:05:17"
"Georg","Svyat","Если какой-то рандом на сайт случайно на сайт попадет","2024-12-05 09:05:17"
"Georg","Svyat","Если какой-то рандом на сайт случайно на сайт попадет","2024-12-05 09:05:17"
"Georg","Svyat","Если какой-то рандом на сайт случайно на сайт попадет","2024-12-05 09:05:17"
"Georg","Svyat","Если какой-то рандом на сайт случайно на сайт попадет","2024-12-05 09:05:18"
"Georg","Svyat","Если какой-то рандом на сайт случайно на сайт попадет","2024-12-05 09:05:18"
"Georg","Svyat","Если какой-то рандом на сайт случайно на сайт попадет","2024-12-05 09:05:18"
"Georg","Svyat","Если какой-то рандом на сайт случайно на сайт попадет","2024-12-05 09:05:18"
"Georg","Svyat","Если какой-то рандом на сайт случайно на сайт попадет","2024-12-05 09:05:18"
"Georg","Svyat","Если какой-то рандом на сайт случайно на сайт попадет","2024-12-05 09:05:19"
"Georg","Svyat","Если какой-то рандом на сайт случайно на сайт попадет","2024-12-05 09:05:19"
"Georg","Svyat","Если какой-то рандом на сайт случайно на сайт попадет","2024-12-05 09:05:19"
"Georg","Svyat","Если какой-то рандом на сайт случайно на сайт попадет","2024-12-05 09:05:19"
"Georg","Svyat","Если какой-то рандом на сайт случайно на сайт попадет","2024-12-05 09:05:19"
"Georg","Svyat","Если какой-то рандом на сайт случайно на сайт попадет","2024-12-05 09:05:19"
"Georg","Svyat","Если какой-то рандом на сайт случайно на сайт попадет","2024-12-05 09:05:19"
"Georg","Svyat","Если какой-то рандом на сайт случайно на сайт попадет","2024-12-05 09:05:19"
"Georg","Svyat","Возьмёт, зарегается","2024-12-05 09:06:02"
"Georg","Svyat","А потом задудосит сайт)","2024-12-05 09:06:24"
"Georg","Svyat","10 мин уже прошло","2024-12-05 09:11:30"
"Georg","Svyat","10 мин уже прошло","2024-12-05 09:11:30"
"Georg","Svyat","10 мин уже прошло","2024-12-05 09:11:30"
"Georg","Svyat","10 мин уже прошло","2024-12-05 09:11:30"
"Georg","Svyat","10 мин уже прошло","2024-12-05 09:11:30"
"Georg","Svyat","10 мин уже прошло","2024-12-05 09:11:31"
"Georg","Svyat","10 мин уже прошло","2024-12-05 09:11:31"
"Georg","Svyat","10 мин уже прошло","2024-12-05 09:11:31"
"Georg","Svyat","10 мин уже прошло","2024-12-05 09:11:31"
"Georg","Svyat","10 мин уже прошло","2024-12-05 09:11:31"
"Georg","Svyat","10 мин уже прошло","2024-12-05 09:11:31"
"Svyat","Georg","Как именно задудосить?","2024-12-05 09:18:14"
"Svyat","Georg","Ау","2024-12-05 09:20:46"
"Georg","Svyat","Например создать миллиард аккаунтов","2024-12-05 09:22:44"
"Svyat","Georg","От этого будет зашита","2024-12-05 09:23:13"
"Svyat","Georg","...","2024-12-05 09:31:04"
"Georg","Svyat","卐","2024-12-05 09:34:30"
"Georg","Dima","🂡🂢🂣🂤🂥🂦🂧🂨🂩🂪🂫🂬🂭🂮🂱🂲🂳🂴🂵🂶🂷🂸🂹🂺🂻🂼🂽🂾🃁🃂🃃🃄🃅🃆🃇🃈🃉🃊🃋🃌🃍🃎🃑🃒🃓🃔🃕🃖🃗🃘🃙🃚🃛🃜🃝🃞
🂠 - рубашкой вверх
🃟 - белый
🃏- черный
🂿 - красный","2024-12-05 09:48:06"
"Орешник","Svyat","Ты идёшь сегодня на математику?","2024-12-05 09:48:09"
"Svyat","Mary","Почему не отвечаешь?","2024-12-05 09:48:14"
"Орешник","Svyat","Сосал?","2024-12-05 09:48:14"
"Georg","Орешник","🂡🂢🂣🂤🂥🂦🂧🂨🂩🂪🂫🂬🂭🂮🂱🂲🂳🂴🂵🂶🂷🂸🂹🂺🂻🂼🂽🂾🃁🃂🃃🃄🃅🃆🃇🃈🃉🃊🃋🃌🃍🃎🃑🃒🃓🃔🃕🃖🃗🃘🃙🃚🃛🃜🃝🃞
🂠 - рубашкой вверх
🃟 - белый
🃏- черный
🂿 - красный","2024-12-05 09:48:18"
"Svyat","Орешник","Да. Нет.","2024-12-05 09:48:31"
"Svyat","Орешник","Мы в одну школу идëм?","2024-12-05 09:48:39"
"Georg","Орешник","ඞ","2024-12-05 09:48:52"
"Svyat","Орешник","Напиши Mary","2024-12-05 09:48:55"
"Svyat","Орешник","Это марина","2024-12-05 09:48:59"
"Svyat","Орешник","Марина","2024-12-05 09:49:02"
"Georg","Орешник","ඞ","2024-12-05 09:49:11"
"Georg","Орешник","ඞ","2024-12-05 09:49:15"
"Georg","Орешник","ඞ","2024-12-05 09:49:17"
"Georg","Орешник","ඞ","2024-12-05 09:49:19"
"Georg","Орешник","ඞ","2024-12-05 09:49:21"
"Georg","Орешник","ඞ","2024-12-05 09:49:23"
"Georg","Орешник","ඞ","2024-12-05 09:49:24"
"Georg","Орешник","ඞ","2024-12-05 09:49:26"
"Georg","Орешник","卐","2024-12-05 09:49:29"
"Georg","Орешник","ඞ","2024-12-05 09:49:51"
"Georg","Орешник","ඞ","2024-12-05 09:49:53"
"Georg","Орешник","ඞ","2024-12-05 09:49:55"
"Georg","Орешник","ඞ","2024-12-05 09:49:57"
"Pidor","Svyat","Goyda sex wish sobaca","2024-12-05 09:50:42"
"Georg","Орешник","ඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞඞ","2024-12-05 09:51:01"
"Svyat","Pidor","Я тебя заблокирую на всю жизнь","2024-12-05 09:51:02"
